"DATE","YEAR","MONTH","DAY","WDAY","HOUR","PATIENTS"
2010-01-01 00:00:00,2010,1,1,5,0,6
2010-01-01 01:00:00,2010,1,1,5,1,12
2010-01-01 02:00:00,2010,1,1,5,2,7
2010-01-01 03:00:00,2010,1,1,5,3,16
2010-01-01 04:00:00,2010,1,1,5,4,12
2010-01-01 05:00:00,2010,1,1,5,5,15
2010-01-01 06:00:00,2010,1,1,5,6,5
2010-01-01 07:00:00,2010,1,1,5,7,10
2010-01-01 08:00:00,2010,1,1,5,8,7
2010-01-01 09:00:00,2010,1,1,5,9,5
2010-01-01 10:00:00,2010,1,1,5,10,6
2010-01-01 11:00:00,2010,1,1,5,11,13
2010-01-01 12:00:00,2010,1,1,5,12,8
2010-01-01 13:00:00,2010,1,1,5,13,16
2010-01-01 14:00:00,2010,1,1,5,14,13
2010-01-01 15:00:00,2010,1,1,5,15,16
2010-01-01 16:00:00,2010,1,1,5,16,15
2010-01-01 17:00:00,2010,1,1,5,17,12
2010-01-01 18:00:00,2010,1,1,5,18,14
2010-01-01 19:00:00,2010,1,1,5,19,8
2010-01-01 20:00:00,2010,1,1,5,20,9
2010-01-01 21:00:00,2010,1,1,5,21,7
2010-01-01 22:00:00,2010,1,1,5,22,5
2010-01-01 23:00:00,2010,1,1,5,23,9
2010-01-02 00:00:00,2010,1,2,6,0,5
2010-01-02 01:00:00,2010,1,2,6,1,5
2010-01-02 02:00:00,2010,1,2,6,2,4
2010-01-02 03:00:00,2010,1,2,6,3,6
2010-01-02 04:00:00,2010,1,2,6,4,0
2010-01-02 05:00:00,2010,1,2,6,5,3
2010-01-02 06:00:00,2010,1,2,6,6,5
2010-01-02 07:00:00,2010,1,2,6,7,8
2010-01-02 08:00:00,2010,1,2,6,8,16
2010-01-02 09:00:00,2010,1,2,6,9,29
2010-01-02 10:00:00,2010,1,2,6,10,33
2010-01-02 11:00:00,2010,1,2,6,11,24
2010-01-02 12:00:00,2010,1,2,6,12,26
2010-01-02 13:00:00,2010,1,2,6,13,17
2010-01-02 14:00:00,2010,1,2,6,14,24
2010-01-02 15:00:00,2010,1,2,6,15,24
2010-01-02 16:00:00,2010,1,2,6,16,21
2010-01-02 17:00:00,2010,1,2,6,17,16
2010-01-02 18:00:00,2010,1,2,6,18,14
2010-01-02 19:00:00,2010,1,2,6,19,7
2010-01-02 20:00:00,2010,1,2,6,20,6
2010-01-02 21:00:00,2010,1,2,6,21,11
2010-01-02 22:00:00,2010,1,2,6,22,14
2010-01-02 23:00:00,2010,1,2,6,23,11
2010-01-03 00:00:00,2010,1,3,7,0,11
2010-01-03 01:00:00,2010,1,3,7,1,6
2010-01-03 02:00:00,2010,1,3,7,2,5
2010-01-03 03:00:00,2010,1,3,7,3,5
2010-01-03 04:00:00,2010,1,3,7,4,2
2010-01-03 05:00:00,2010,1,3,7,5,3
2010-01-03 06:00:00,2010,1,3,7,6,4
2010-01-03 07:00:00,2010,1,3,7,7,5
2010-01-03 08:00:00,2010,1,3,7,8,10
2010-01-03 09:00:00,2010,1,3,7,9,14
2010-01-03 10:00:00,2010,1,3,7,10,12
2010-01-03 11:00:00,2010,1,3,7,11,17
2010-01-03 12:00:00,2010,1,3,7,12,15
2010-01-03 13:00:00,2010,1,3,7,13,10
2010-01-03 14:00:00,2010,1,3,7,14,14
2010-01-03 15:00:00,2010,1,3,7,15,12
2010-01-03 16:00:00,2010,1,3,7,16,16
2010-01-03 17:00:00,2010,1,3,7,17,12
2010-01-03 18:00:00,2010,1,3,7,18,11
2010-01-03 19:00:00,2010,1,3,7,19,9
2010-01-03 20:00:00,2010,1,3,7,20,10
2010-01-03 21:00:00,2010,1,3,7,21,3
2010-01-03 22:00:00,2010,1,3,7,22,4
2010-01-03 23:00:00,2010,1,3,7,23,5
2010-01-04 00:00:00,2010,1,4,1,0,6
2010-01-04 01:00:00,2010,1,4,1,1,7
2010-01-04 02:00:00,2010,1,4,1,2,3
2010-01-04 03:00:00,2010,1,4,1,3,6
2010-01-04 04:00:00,2010,1,4,1,4,3
2010-01-04 05:00:00,2010,1,4,1,5,1
2010-01-04 06:00:00,2010,1,4,1,6,2
2010-01-04 07:00:00,2010,1,4,1,7,9
2010-01-04 08:00:00,2010,1,4,1,8,24
2010-01-04 09:00:00,2010,1,4,1,9,34
2010-01-04 10:00:00,2010,1,4,1,10,38
2010-01-04 11:00:00,2010,1,4,1,11,30
2010-01-04 12:00:00,2010,1,4,1,12,31
2010-01-04 13:00:00,2010,1,4,1,13,27
2010-01-04 14:00:00,2010,1,4,1,14,22
2010-01-04 15:00:00,2010,1,4,1,15,26
2010-01-04 16:00:00,2010,1,4,1,16,22
2010-01-04 17:00:00,2010,1,4,1,17,13
2010-01-04 18:00:00,2010,1,4,1,18,8
2010-01-04 19:00:00,2010,1,4,1,19,7
2010-01-04 20:00:00,2010,1,4,1,20,11
2010-01-04 21:00:00,2010,1,4,1,21,6
2010-01-04 22:00:00,2010,1,4,1,22,7
2010-01-04 23:00:00,2010,1,4,1,23,6
2010-01-05 00:00:00,2010,1,5,2,0,6
2010-01-05 01:00:00,2010,1,5,2,1,4
2010-01-05 02:00:00,2010,1,5,2,2,5
2010-01-05 03:00:00,2010,1,5,2,3,4
2010-01-05 04:00:00,2010,1,5,2,4,2
2010-01-05 05:00:00,2010,1,5,2,5,3
2010-01-05 06:00:00,2010,1,5,2,6,1
2010-01-05 07:00:00,2010,1,5,2,7,3
2010-01-05 08:00:00,2010,1,5,2,8,15
2010-01-05 09:00:00,2010,1,5,2,9,18
2010-01-05 10:00:00,2010,1,5,2,10,21
2010-01-05 11:00:00,2010,1,5,2,11,24
2010-01-05 12:00:00,2010,1,5,2,12,21
2010-01-05 13:00:00,2010,1,5,2,13,25
2010-01-05 14:00:00,2010,1,5,2,14,17
2010-01-05 15:00:00,2010,1,5,2,15,30
